Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,6,65,-0.051460456,Brook Lopez,,MIL,C,7,25.6452381,12.42857143,2.428571429,2.714285714,1.285714286,0.142857143,1.571428571,0.46875,9.142857143,1,1.428571429,1,-0.501447166,0.888082841,-1.108901286,-0.841279392,-1.571687504,1.233640871,-0.142667914,0.743608807,0.837506643
,15,179,-0.390049676,Ricky Rubio,,UTA,G,7,29.37142857,9,1.142857143,2.714285714,7.142857143,1.142857143,0.285714286,0.31147541,8.714285714,0.894736842,2.714285714,3.142857143,-1.081934875,-0.305270213,-1.108901286,1.890838645,0.339629192,-0.713604834,-1.937163863,0.72740645,-1.321446299
,3,29,0.201773052,Chris Paul,,HOU,G,4,33.37083333,19,2,5.75,8.25,1.75,0,0.393442623,15.25,0.833333333,6,2.75,0.611154278,0.49029849,-0.081387464,2.407275591,1.500071471,-1.146326102,-1.762727955,0.723237422,-0.92563826
,13,155,-0.304925818,Malik Monk,,CHA,G,8,23.87916667,12.125,2.25,1.875,2,0.5,0.5,0.390804598,10.875,1,1.375,1,-0.552844515,0.722339361,-1.392978637,-0.508094266,-0.889074399,-0.389063883,-1.288478827,0.716356158,0.837506643
,28,327,-0.743964671,Chimezie Metu,,SAS,F,3,5.244444444,2.666666667,0,1.333333333,0.333333333,0.333333333,0.333333333,0.222222222,3,1,1.333333333,0,-2.154224673,-1.366028484,-1.576319338,-1.285526228,-1.207627181,-0.641484623,-1.004649185,0.695159652,1.845018016
,22,256,-0.580576369,Dwayne Bacon,,CHA,F,3,6.883333333,4.666666667,0.666666667,0.666666667,0.666666667,0.333333333,0,0.5,2.666666667,1,1.333333333,0,-1.815606842,-0.747252826,-1.801969433,-1.130039835,-1.207627181,-1.146326102,0.083457228,0.695159652,1.845018016
,23,266,-0.600797307,Rodions Kurucs,Probable - sprained left ankle,BKN,F,3,14.28888889,8.666666667,1.333333333,4,0.333333333,0,0,0.473684211,6.333333333,1,1.333333333,1.666666667,-1.138371181,-0.128477168,-0.673718961,-1.285526228,-1.844732747,-1.146326102,-0.051015421,0.695159652,0.165832394
,26,303,-0.689629691,Jamal Crawford,,PHO,G,6,11.10555556,4.333333333,0.666666667,0.666666667,1.5,0.333333333,0,0.35,3.333333333,1,1.333333333,0.666666667,-1.872043147,-0.747252826,-1.801969433,-0.741323854,-1.207627181,-1.146326102,-0.558628093,0.695159652,1.173343767
,9,106,-0.168375828,Kevin Love,Injured - left foot soreness (15g),CLE,F,4,33.94166667,19,1.75,13.5,3.5,0.25,0.5,0.323076923,16.25,0.818181818,8.25,2.5,0.611154278,0.258257618,2.541794883,0.1915945,-1.366903573,-0.389063883,-3.383339154,0.694883296,-0.673760416
,4,42,0.083488616,Devin Booker,Questionable - hamstring strain,PHO,G,4,34.35833333,27.75,3,4.5,6.75,0.75,0,0.507042254,17.75,0.818181818,8.25,5.5,2.092607287,1.418461976,-0.50448139,1.707586825,-0.411245225,-1.146326102,0.596205409,0.694883296,-3.696294535
,8,88,-0.134859732,Jeremy Lamb,,CHA,G,8,24.60416667,10.875,1.375,3.625,1.5,1.125,0.625,0.397435897,9.75,0.933333333,1.875,0.375,-0.764480659,-0.089803689,-0.800647139,-0.741323854,0.305498536,-0.199748329,-1.067906569,0.677472868,1.467201251
,21,250,-0.566114548,Alec Burks,Questionable - hand,UTA,G,5,11.02333333,6,0.8,1.4,1,0.4,0.2,0.380952381,4.2,0.909090909,2.2,0.4,-1.589861621,-0.623497694,-1.553754329,-0.974553443,-1.080206068,-0.843421215,-0.53861083,0.666860798,1.442013467
,15,176,-0.382435861,Reggie Jackson,,DET,G,7,30.45952381,16.14285714,2.285714286,2.714285714,3.571428571,0.285714286,0.142857143,0.357142857,14,0.84375,4.571428571,1.428571429,0.12741452,0.755488057,-1.108901286,0.224913012,-1.298642262,-0.929965468,-2.284711421,0.666766047,0.405716055
,17,194,-0.445553908,Marco Belinelli,,SAS,G,7,21.64047619,11.14285714,1.428571429,2.142857143,1.428571429,0.714285714,0.142857143,0.382352941,9.714285714,0.888888889,2.571428571,1,-0.719130057,-0.040080645,-1.302315652,-0.774642367,-0.479506535,-0.929965468,-1.256583804,0.654732717,0.837506643
,3,36,0.119913675,Zach Collins,,POR,C,7,21.89285714,11.14285714,0.857142857,4.714285714,1.428571429,0.571428571,2,0.651162791,6.142857143,0.888888889,2.571428571,1.428571429,-0.719130057,-0.570459781,-0.431951003,-0.774642367,-0.752551778,1.882722772,1.384786512,0.654732717,0.405716055
,20,233,-0.526647715,Allonzo Trier,,NYK,G,8,21.23958333,9.25,0.625,2.75,1.25,0.25,0.375,0.481481481,6.75,0.894736842,2.375,1.5,-1.039607647,-0.785926304,-1.096812888,-0.857938649,-1.366903573,-0.578379438,0.013398532,0.638589579,0.333750957
,5,57,-0.029845297,T.J. Warren,,PHO,F,7,24.93333333,16,1.714285714,3.571428571,1.428571429,0.571428571,0.714285714,0.511627907,12.28571429,0.923076923,1.857142857,1.142857143,0.103227532,0.225108922,-0.818779736,-0.774642367,-0.752551778,-0.064522933,0.493479205,0.62649703,0.693576447
,6,64,-0.048319013,Garrett Temple,,MEM,G,6,30.41388889,14.33333333,2.666666667,3.666666667,1.333333333,0.833333333,0.5,0.448275862,9.666666667,0.857142857,3.5,1.166666667,-0.178953994,1.109074148,-0.786544008,-0.81906705,-0.251968833,-0.389063883,-0.41234809,0.624412516,0.669588081
,27,319,-0.722240727,Raymond Felton,,OKC,G,2,15.95,9,0,3.5,2,0,0.5,0.352941176,8.5,0.857142857,3.5,1.5,-1.081934875,-1.366028484,-0.842956532,-0.508094266,-1.844732747,-0.389063883,-1.425519231,0.624412516,0.333750957
,26,304,-0.690291908,Kentavious Caldwell-Pope,,LAL,G,8,20.36666667,5.875,0.5,1.875,0.5,0.375,0.125,0.357142857,5.25,0.928571429,1.75,0.625,-1.611025236,-0.90194674,-1.392978637,-1.207783031,-1.127988986,-0.957010547,-0.843100753,0.613883353,1.215323408
,10,117,-0.198046145,C.J. McCollum,,POR,G,7,32.07380952,19.28571429,2.428571429,4.285714286,2,0.285714286,0.428571429,0.41025641,16.71428571,0.846153846,3.714285714,1.285714286,0.659528254,0.888082841,-0.577011778,-0.508094266,-1.298642262,-0.4972442,-1.564536774,0.565856628,0.549646251
,21,242,-0.544850528,Elie Okobo,,PHO,G,5,17.64666667,8,1,1.8,3.2,0.2,0,0.448275862,5.8,0.9,2,1.4,-1.251243791,-0.437864997,-1.418364272,0.051656747,-1.462469407,-1.146326102,-0.238662595,0.565117573,0.434502094
,13,147,-0.275979927,Jordan Clarkson,,CLE,G,7,22.85,16,1.285714286,2.714285714,1.142857143,0.571428571,0.142857143,0.5,13.14285714,0.916666667,1.714285714,1.428571429,0.103227532,-0.172675429,-1.108901286,-0.907916418,-0.752551778,-0.929965468,0.325424151,0.553823298,0.405716055
